CAMPUS_NAME,SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_CRN,SSBSECT_CAMP_CODE,SPRIDEN_LAST_NAME,SPRIDEN_FIRST_NAME,ID,FAKE_ID,SSBSECT_SEQ_NUMB,SFRSTCR_TERM_CODE,SSRMEET_BEGIN_TIME,SSRMEET_END_TIME,SSRMEET_BLDG_CODE,SSRMEET_ROOM_CODE,DAYS,STVLANG_DESC,SCBCRSE_TITLE,STVNATN_NATION,STVRSTS_INCL_SECT_ENRL,STUDENT_LEVEL,COLLEGE,DEPARTMENT,DEGREE,MAJOR,GPA_OVERALL,EMAIL
Online,MATH,996,54680,PF,Moore,Matthew,2937416,2998362,6,202505,TBA,,ONLINE,,,,SUPPORT FOR ELEM STATISTICS,,Y,UA,PC,,ASCC,BADM,,mmoore56@student.gsu.edu
Dunwoody -Associates courses,MATH,1401,55131,PN,Rogers,Susan,2869325,2901420,59,202505,11:00,13:45,NE,290,MW,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,BADM,,srogers8@student.gsu.edu
Online,MATH,1001,51729,PF,Davis,Christopher,2750939,2343035,42,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,CRJU,2.15,cdavis57@student.gsu.edu
Online,MATH,1001,54760,PF,Munoz,Melanie,2825726,2004860,22,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,EDPE,0.75,mmunoz66@student.gsu.edu
Online,MATH,1111,51742,PF,Blair,Lindsay,2841659,900536508,26,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,3.74,lblair1@student.gsu.edu
Online,MATH,1111,51734,PF,Dudley,Amanda,2818429,2068191,34,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BADM,3.42,adudley26@student.gsu.edu
Online,MATH,1111,53358,PF,Arnold,Nicholas,2881182,2146718,30,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,CSCI,3.25,narnold28@student.gsu.edu
Decatur -Associates courses,MATH,997,54919,PS,Montgomery,Maria,2861114,2807633,32,202505,10:00,10:55,SH,1500,TR,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,ENGR,,mmontgomery59@student.gsu.edu
Online,MATH,999,51722,PF,Ray,Michelle,2753007,2429297,16,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,1.17,mray91@student.gsu.edu
Online,MATH,997,53988,PF,Williams,Janet,2896693,2994162,12,202505,TBA,,ONLINE,,,English,SUPPORT FOR QUANT REASONING,China,Y,UA,PC,,ASCC,MATH,,jwilliams46@student.gsu.edu
Online,MATH,1001,52981,PF,Roberts,Jeremy,2144463,2513583,48,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,BADM,3,jroberts54@student.gsu.edu
Online,MATH,1001,52807,PF,Hall,Christopher,2857555,2696327,44,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.5,chall28@student.gsu.edu
Online,MATH,1001,52260,PF,Ramirez,Craig,2743849,2879599,26,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,EDPK,2,cramirez21@student.gsu.edu
Online,MATH,1111,51743,PF,Diaz,Cynthia,1685508,2865527,28,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,US,BU,MGT,BBA,MGT,3.49,cdiaz53@student.gsu.edu
Online,MATH,1401,54678,PF,Clark,Mitchell,2666893,2722909,36,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,BIOL,2.18,mclark16@student.gsu.edu
Dunwoody -Associates courses,MATH,996,55132,PN,Zuniga,Joseph,2809112,2611854,15,202505,14:00,15:45,NE,290,MW,,SUPPORT FOR ELEM STATISTICS,,Y,UA,PC,,ASCC,BADM,3.4,jzuniga46@student.gsu.edu
Online,MATH,1001,53989,PF,Lynch,Deborah,2941076,2128386,20,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,PSYC,2.67,dlynch25@student.gsu.edu
Online,MATH,999,51722,PF,Daniel,George,2817260,2821526,16,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,2.3,gdaniel44@student.gsu.edu
Online,MATH,1001,52407,PF,Gray,Frank,2933202,2362080,32,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,BADM,2.43,fgray61@student.gsu.edu
Clarkston -Associates courses,MATH,997,51711,PC,Bowman,Veronica,2855118,900895597,2,202505,13:00,13:55,CD,1120,TR,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,GENL,0,vbowman75@student.gsu.edu
Decatur -Associates courses,MATH,999,51606,PS,Cohen,Angela,2829119,900381357,30,202505,10:00,11:50,SH,1300,TR,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,3.74,acohen71@student.gsu.edu
Clarkston -Associates courses,MATH,1111,52409,PC,Parsons,Megan,2740026,2907783,14,202505,10:00,12:45,CH,3190,MW,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,KIHT,3.23,mparsons96@student.gsu.edu
Online,MATH,1001,54751,PF,Johnson,Jeremy,2727387,2488349,30,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.5,jjohnson20@student.gsu.edu
Online,MATH,1111,51734,PF,Adams,Leslie,2826643,2896523,34,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,ENGR,3.83,ladams63@student.gsu.edu
Online,MATH,1401,52519,PF,Hahn,Jason,2412557,900122112,40,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,BADM,1.39,jhahn90@student.gsu.edu
Online,MATH,1111,53400,PF,Edwards,Nancy,2862463,2048969,42,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,US,AS,NEUR,BS,NEUR,2.66,nedwards9@student.gsu.edu
Online,MATH,1001,51729,PF,Foster,Diana,2906511,2274266,42,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,0,dfoster88@student.gsu.edu
Online,MATH,1111,51735,PF,Ellis,Robin,2383484,2930436,20,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,US,BU,MK,BBA,MK,2.85,rellis49@student.gsu.edu
Online,MATH,999,53481,PF,Wright,Joseph,2757918,2405729,20,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,0.8,jwright67@student.gsu.edu
Online,MATH,1001,51724,PF,Baker,Anna,2812270,2002805,12,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,AACC,FILM,3.23,abaker34@student.gsu.edu
Online,MATH,997,51710,PF,Hurst,Brenda,2715726,2766259,6,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,GENL,0,bhurst49@student.gsu.edu
Online,MATH,1111,51734,PF,Robinson,Reginald,2830110,2764043,34,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BADM,3.76,rrobinson63@student.gsu.edu
Online,MATH,1111,51742,PF,Hicks,Whitney,2813274,2672073,26,202505,TBA,,ONLINE,,,Gujarati,COLLEGE ALGEBRA,India,Y,UA,PC,,ASCC,BADM,3.46,whicks17@student.gsu.edu
Online,MATH,999,52850,PF,Williams,Christopher,2853312,2064921,26,202505,TBA,,ONLINE,,,English,SUPPORT FOR COLLEGE ALGEBRA,Bahamas (The),Y,UA,PC,,ASCC,CSCI,3.52,cwilliams87@student.gsu.edu
Online,MATH,1401,54755,PF,Burton,Daniel,2774461,2703659,26,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,HLHP,2.56,dburton38@student.gsu.edu
Online,MATH,1111,53482,PF,Henderson,Laura,2421641,2353991,36,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,US,BU,MGT,BBA,MGT,2.52,lhenderson64@student.gsu.edu
Online,MATH,1001,51724,PF,James,Bryan,2852714,2671215,12,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,GENL,1.5,bjames26@student.gsu.edu
Decatur -Associates courses,MATH,1111,51608,PS,Rice,Wendy,2684148,2250381,50,202505,12:00,14:45,SH,1300,TR,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,2.95,wrice33@student.gsu.edu
Online,MATH,997,52980,PF,Valencia,Tasha,2927162,2320815,20,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,BIOL,,tvalencia27@student.gsu.edu
Online,MATH,1001,52807,PF,Le,Alexander,2104101,2887456,44,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,EDSE,2.1,ale46@student.gsu.edu
Online,MATH,1401,52516,PF,Herrera,Erin,1955308,2309974,48,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,PSYC,1.67,eherrera79@student.gsu.edu
Online,MATH,1111,53358,PF,Davidson,Joseph,2738724,2986131,30,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,EDPK,2.32,jdavidson92@student.gsu.edu
Online,MATH,997,54750,PF,Johnson,Jeremy,2727387,2488349,10,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,HLHP,2.5,jjohnson20@student.gsu.edu
Online,MATH,1401,54755,PF,Graham,Daniel,2421866,2356658,26,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,BADM,3.33,dgraham86@student.gsu.edu
Online,MATH,999,55526,PF,Mckay,Shawn,900654081,2340622,32,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BADM,3.5,smckay2@student.gsu.edu
Dunwoody -Associates courses,MATH,1001,51826,PN,Baker,Nancy,2732098,2624572,50,202505,10:00,12:45,NE,1220,MW,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,MUSC,0,nbaker92@student.gsu.edu
Online,MATH,1111,51742,PF,White,Vincent,2866702,2101123,26,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,AACC,POLY,4,vwhite69@student.gsu.edu
Online,MATH,997,53988,PF,Harrell,Rita,2867970,2535977,12,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,HLHI,3.25,rharrell94@student.gsu.edu
Online,MATH,1111,55527,PF,Fowler,Kenneth,2850864,900452049,54,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,ENGR,2.6,kfowler61@student.gsu.edu
Online,MATH,1001,52807,PF,Hernandez,Chelsea,2832899,2154002,44,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,PSYC,2.84,chernandez74@student.gsu.edu
Decatur -Associates courses,MATH,1111,51608,PS,Ryan,Kathryn,2842355,2058177,50,202505,12:00,14:45,SH,1300,TR,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,ENGR,3.8,kryan45@student.gsu.edu
Clarkston -Associates courses,MATH,999,52408,PC,Moreno,Kimberly,2785112,2420939,10,202505,13:00,14:50,CH,3190,MW,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,2.29,kmoreno1@student.gsu.edu
Online,MATH,1111,51735,PF,Nguyen,Aaron,2921199,2168398,20,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,HLHP,,anguyen38@student.gsu.edu
Online,MATH,1001,52261,PF,Hickman,Andrew,2896378,2440641,24,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.95,ahickman81@student.gsu.edu
Online,MATH,1001,51729,PF,Decker,Natasha,2376524,900796663,42,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.63,ndecker6@student.gsu.edu
Online,MATH,1111,54698,PF,Brown,Kyle,2887967,900744884,38,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,HLHP,2,kbrown24@student.gsu.edu
Online,MATH,999,51720,PF,Arroyo,Natalie,2855908,2216275,14,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,AACC,PHIL,3.48,narroyo36@student.gsu.edu
Online,MATH,999,53481,PF,Tucker,Christopher,900934517,2267952,20,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,HLHP,2.08,ctucker58@student.gsu.edu
Online,MATH,999,55526,PF,Hodges,Chad,2906520,2352658,32,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,3.11,chodges75@student.gsu.edu
Online,MATH,1401,54755,PF,Anderson,Katie,2807943,2147255,26,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,KIHT,1.1,kanderson59@student.gsu.edu
Online,MATH,996,54754,PF,Pierce,Thomas,2836315,2262141,4,202505,TBA,,ONLINE,,,,SUPPORT FOR ELEM STATISTICS,,Y,UA,PC,,ASCC,CRJU,1.84,tpierce46@student.gsu.edu
Online,MATH,999,51720,PF,Brennan,Joseph,2138756,2453650,14,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,CSCI,,jbrennan27@student.gsu.edu
Online,MATH,1401,53993,PF,Lewis,Rodney,2222625,2469835,28,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,CRJU,2.82,rlewis75@student.gsu.edu
Online,MATH,997,54759,PF,Blair,Amber,2722999,2301326,14,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,HLHP,2.32,ablair2@student.gsu.edu
Online,MATH,997,53988,PF,Collins,James,2895966,2532286,12,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,AACC,ANTH,2.65,jcollins23@student.gsu.edu
Clarkston -Associates courses,MATH,997,51711,PC,Santos,Wanda,2933473,2831266,2,202505,13:00,13:55,CD,1120,TR,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,EDSE,,wsantos69@student.gsu.edu
Online,MATH,997,51710,PF,Holmes,Samuel,2899718,2190673,6,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,CRJU,2.31,sholmes90@student.gsu.edu
Online,MATH,997,51709,PF,Walker,David,2862479,2756050,8,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,GENL,2.16,dwalker60@student.gsu.edu
Online,MATH,1001,51727,PF,Chapman,Matthew,2330560,2568124,38,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.7,mchapman1@student.gsu.edu
Decatur -Associates courses,MATH,997,54919,PS,Robinson,Jerry,2777150,2527189,32,202505,10:00,10:55,SH,1500,TR,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,CSCI,0.9,jrobinson61@student.gsu.edu
Clarkston -Associates courses,MATH,1001,51730,PC,Welch,Chad,2814801,2931832,8,202505,10:00,12:45,CD,1120,TR,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,PSYC,3.4,cwelch93@student.gsu.edu
Online,MATH,997,54759,PF,Whitehead,Jeremy,2227872,2855260,14,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,MATH,0,jwhitehead56@student.gsu.edu
Dunwoody -Associates courses,MATH,996,52509,PN,Jones,Michele,2781881,2581685,14,202505,11:00,12:50,NE,350,TR,,SUPPORT FOR ELEM STATISTICS,,Y,UA,PC,,ASCC,BADM,2,mjones58@student.gsu.edu
Online,MATH,1401,54153,PF,Caldwell,John,2829134,2969439,32,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,EDPK,0,jcaldwell43@student.gsu.edu
Online,MATH,997,54750,PF,Anderson,Jason,2956473,2878080,10,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,BADM,0,janderson92@student.gsu.edu
Online,MATH,1111,53482,PF,Duncan,Selena,2870601,2241586,36,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,ENGR,2.33,sduncan10@student.gsu.edu
Online,MATH,999,55526,PF,Fowler,Kenneth,2850864,900452049,32,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,ENGR,2.6,kfowler61@student.gsu.edu
Online,MATH,1111,52985,PF,Mueller,Thomas,2882497,2012301,32,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,AACC,JOUR,2.15,tmueller12@student.gsu.edu
Online,MATH,997,52257,PF,Lee,Lindsey,2742478,900322881,18,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,CHEM,2.11,llee70@student.gsu.edu
Online,MATH,996,52983,PF,Jordan,Collin,2709717,2501840,2,202505,TBA,,ONLINE,,,,SUPPORT FOR ELEM STATISTICS,,Y,UA,PC,,ASCC,BADM,2.67,cjordan77@student.gsu.edu
Online,MATH,999,51720,PF,Owens,Rodney,2495278,2371842,14,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,HLHP,2.48,rowens17@student.gsu.edu
Online,MATH,1001,53489,PF,Nunez,Jessica,2197590,2175754,14,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2,jnunez26@student.gsu.edu
Clarkston -Associates courses,MATH,999,52408,PC,Garcia,Tracey,2766398,900361114,10,202505,13:00,14:50,CH,3190,MW,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,CSCI,1.85,tgarcia10@student.gsu.edu
Online,MATH,1001,51724,PF,Morgan,Richard,2957116,2039550,12,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,0,000P,,rmorgan7@student.gsu.edu
Online,MATH,999,51723,PF,Wright,Michelle,2622319,2555216,24,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BADM,2.44,mwright13@student.gsu.edu
Online,MATH,999,52850,PF,West,James,2680592,2587821,26,202505,TBA,,ONLINE,,,Yoruba,SUPPORT FOR COLLEGE ALGEBRA,Nigeria,Y,UA,PC,,ASCC,HLHP,3.55,jwest48@student.gsu.edu
Online,MATH,1111,51742,PF,Ramirez,Robert,2954899,2521986,26,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,0,000P,,rramirez71@student.gsu.edu
Online,MATH,996,54754,PF,Leblanc,John,900789870,2804479,4,202505,TBA,,ONLINE,,,,SUPPORT FOR ELEM STATISTICS,,Y,UA,PC,,ASCC,BIOL,2.45,jleblanc98@student.gsu.edu
Online,MATH,1001,51724,PF,Callahan,Scott,2378019,2385262,12,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,0.5,scallahan1@student.gsu.edu
Online,MATH,1001,54751,PF,Anderson,Jason,2956473,2878080,30,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,BADM,0,janderson92@student.gsu.edu
Online,MATH,1001,53989,PF,Williams,Andrea,900708163,2729890,20,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,3.4,awilliams95@student.gsu.edu
Online,MATH,1111,51737,PF,Huff,Yvette,2853759,2621116,24,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,0,000P,2.96,yhuff94@student.gsu.edu
Online,MATH,1111,53358,PF,House,Tanya,2520236,2846353,30,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,GENL,2.68,thouse19@student.gsu.edu
Online,MATH,997,54750,PF,Martin,Melinda,2418225,2779252,10,202505,TBA,,ONLINE,,,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,HLHP,3,mmartin90@student.gsu.edu
Dunwoody -Associates courses,MATH,997,51827,PN,Lewis,Todd,2670902,2235022,28,202505,13:00,13:55,NE,1220,MW,,SUPPORT FOR QUANT REASONING,,Y,UA,PC,,ASCC,HLHP,1.85,tlewis7@student.gsu.edu
Online,MATH,1111,54698,PF,Brown,Richard,2906217,2231312,38,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,0,000P,,rbrown71@student.gsu.edu
Online,MATH,1001,53489,PF,Galloway,Nicholas,2345696,2229700,14,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.56,ngalloway24@student.gsu.edu
Online,MATH,1001,51728,PF,Bowers,Joseph,2861180,2046190,40,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.06,jbowers27@student.gsu.edu
Online,MATH,999,53481,PF,Henderson,Spencer,2806642,2128601,20,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,ENGR,3.23,shenderson90@student.gsu.edu
Decatur -Associates courses,MATH,1001,51607,PS,Cowan,Susan,2547249,2022078,52,202505,11:00,13:45,SH,1500,MW,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,PSYC,2.4,scowan70@student.gsu.edu
Clarkston -Associates courses,MATH,1111,52409,PC,Higgins,Angela,1196760,2810522,14,202505,10:00,12:45,CH,3190,MW,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,CSCI,3.71,ahiggins93@student.gsu.edu
Alpharetta,MATH,999,54155,PA,Phillips,Eric,2860191,2564805,8,202505,13:00,14:50,AB,113,TR,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,PB,000P,3,ephillips92@student.gsu.edu
Decatur -Associates courses,MATH,1111,51608,PS,Riley,Tanya,2780999,2246453,50,202505,12:00,14:45,SH,1300,TR,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,CSCI,3.25,triley62@student.gsu.edu
Online,MATH,1111,51743,PF,Adkins,Amy,2519193,2107549,28,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BADM,2.3,aadkins56@student.gsu.edu
Online,MATH,1401,54678,PF,Silva,Brian,2752940,900781228,36,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,HLHP,3.31,bsilva79@student.gsu.edu
Online,MATH,999,51723,PF,Farrell,Wesley,2736350,2736368,24,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,HLHP,3.84,wfarrell44@student.gsu.edu
Online,MATH,1001,52259,PF,Yu,Eric,2785199,900186892,28,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,2.22,eyu52@student.gsu.edu
Online,MATH,1111,51736,PF,Lopez,Christopher,2452697,2187644,22,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BADM,4,clopez93@student.gsu.edu
Online,MATH,999,51723,PF,Leonard,Brooke,2759355,2166358,24,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,2.39,bleonard12@student.gsu.edu
Online,MATH,1111,52985,PF,Wilson,Joe,2725232,2125423,32,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,HLHP,2.44,jwilson20@student.gsu.edu
